"Parent Molecule";"Name";"Synonyms";"Research Codes";"Phase";"Drug Applicants";"USAN Stem";"USAN Year";"USAN Definition";"USAN Stem - Substem";"First Approval";"ATC Codes";"Level 4 ATC Codes";"Level 3 ATC Codes";"Level 2 ATC Codes";"Level 1 ATC Codes";"Indication Class";"Patent";"Drug Type";"Passes Rule of Five";"First In Class";"Chirality";"Prodrug";"Oral";"Parenteral";"Topical";"Black Box";"Availability Type";"Smiles"
"CHEMBL1200559";"LACTIC ACID";"ACIDUM LACTICUM|DL- LACTIC ACID|DL-LACTIC ACID|E 270|E-270|E270|FEMA NO. 2611|HIPURE 88|INS NO.270|INS-270|L-LACTIC ACID OR DL-LACTIC ACID|LACTATE|LACTIC ACID|LACTIC ACID, DL-|LACTIC ACID, UNSPECIFIED FORM|LACTIC ACID,BUFFERED|LACTICUM ACIDUM|LUREX|MILK ACID|NSC-367919|ORDINARY LACTIC ACID|PURAC FCC 80|PURAC FCC 88|RACEMIC LACTIC ACID|TONSILLOSAN";"E 270|E-270|FEMA NO. 2611|HIPURE 88|INS NO.270|INS-270|NSC-367919|PURAC FCC 80|PURAC FCC 88";"4.0";"Evofem Inc|Baxter Healthcare Corp";"";"";"";"";"2006";"G01AD01";"G01AD - Organic acids";"G01A - ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS";"G01 - GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS";"G - GENITO URINARY SYSTEM AND SEX HORMONES";"";"US-6706276-B2";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"1";"0";"0";"Prescription Only";"CC(O)C(=O)O"
"CHEMBL1200679";"ZINC CHLORIDE";"NSC-529648|ZINC CHLORIDE|ZINCUM MURIATICUM";"NSC-529648";"4.0";"Hospira Inc|Exela Pharma Sciences Llc";"";"";"";"";"1986";"B05XA12";"B05XA - Electrolyte solutions";"B05X - I.V. SOLUTION ADDITIVES";"B05 - BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS";"B - BLOOD AND BLOOD FORMING ORGANS";"Astringent; Dentin Desensitizer";"None";"9:Inorganic";"0";"0";"Unknown";"0";"0";"1";"0";"0";"Prescription Only";"[Cl-].[Cl-].[Zn+2]"
"CHEMBL4297506";"DAPACONAZOLE";"DAPACONAZOLE";"";"3.0";"";"'-conazole'";"";"systemic antifungals (miconazole type)";"'-conazole(-conazole)'";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"0";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"FC(F)(F)c1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1"
"CHEMBL363295";"TERODILINE";"TERODILINE";"";"4.0";"";"'-dil-'";"1966";"vasodilators (undefined group)";"'-dil-(-dil-)'";"1986";"G04BD05";"G04BD - Drugs for urinary frequency and incontinence";"G04B - UROLOGICALS";"G04 - UROLOGICALS";"G - GENITO URINARY SYSTEM AND SEX HORMONES";"Vasodilator (coronary)";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Withdrawn";"CC(CC(c1ccccc1)c1ccccc1)NC(C)(C)C"
"CHEMBL187734";"TETRADECYLTHIOACETIC ACID";"TETRADECYLTHIOACETIC ACID|Tetradecylsulfanyl-Acetic Acid";"";"2.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"0";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CCCCCCCCCCCCCCSCC(=O)O"
"CHEMBL119";"TRIMETREXATE";"CI-898|NSC-249008|Neutrexin|TRIMETREXATE|Trimetrexate";"CI-898|NSC-249008";"4.0";"Medimmune Oncology Inc";"'-trexate'";"1981";"antimetabolites (folic acid derivatives)";"'-trexate(-trexate)'";"1993";"P01AX07";"P01AX - Other agents against amoebiasis and other protozoal diseases";"P01A - AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES";"P01 - ANTIPROTOZOALS";"P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS";"Antineoplastic";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"1";"0";"0";"Discontinued";"COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC"
"CHEMBL1200692";"OLMESARTAN MEDOXOMIL";"Benicar|CS-866|NSC-758924|OLMESARTAN MEDOXOMIL|OLMETEC";"CS-866|NSC-758924";"4.0";"Sunshine Lake Pharma Co Ltd|Alkem Laboratories Ltd|Qilu Pharmaceutical Co Ltd|Jubilant Generics Ltd|Macleods Pharmaceuticals Ltd|Mylan Pharmaceuticals Inc|Zydus Pharmaceuticals Usa Inc|Prinston Pharmaceutical Inc|Inventia Healthcare Ltd|Torrent Pharmaceuticals Ltd";"'-sartan'";"2002";"angiotensin II receptor antagonists";"'-sartan(-sartan)'";"2002";"C09CA08";"C09CA - Angiotensin II receptor blockers (ARBs), plain";"C09C - ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN";"C09 - AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM";"C - CARDIOVASCULAR SYSTEM";"";"None";"1:Synthetic Small Molecule";"0";"0";"Achiral Molecule";"1";"1";"0";"0";"1";"Prescription Only";"CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1"
"CHEMBL1201786";"LAPYRIUM";"LAPYRIUM CATION|LAPYRIUM ION|Lapyrium";"";"4.0";"Chesebrough Ponds Inc";"'-ium'";"1972";"quaternary ammonium derivatives";"'-ium(-ium)'";"1982";"";"";"";"";"";"Pharmaceutic Aid (surfactant)";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"1";"0";"Discontinued";"CCCCCCCCCCCC(=O)OCCNC(=O)C[n+]1ccccc1"
"CHEMBL1200845";"HALCINONIDE";"HALCINONIDE|HALOG-E|Halog|NSC-758413|SO 18566|SO-18566|SQ 18566|SQ-18566";"NSC-758413|SO 18566|SO-18566|SQ 18566|SQ-18566";"4.0";"Bristol Myers Squibb|Sun Pharmaceutical Industries Inc|Westwood Squibb Pharmaceuticals Inc|Glasshouse Pharmaceuticals Ltd Canada|Mylan Pharmaceuticals Inc";"'-onide'";"1973";"topical steroids (acetal derivatives)";"'-onide(-onide)'";"1974";"D07AD02";"D07AD - Corticosteroids, very potent (group IV)";"D07A - CORTICOSTEROIDS, PLAIN";"D07 - CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS";"D - DERMATOLOGICALS";"Anti-Inflammatory (topical)";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"1";"0";"Prescription Only";"CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CCl)O1"
"CHEMBL1200937";"DALFOPRISTIN";"DALFOPRISTIN|RP 54476|RP-54476";"RP 54476|RP-54476";"4.0";"King Pharmaceuticals Inc";"'-pris-; -pristin'";"1993";"steriodal compounds acting on progesterone receptors (excluding-gest- compounds); antibacterials, pristinamycin derivatives";"'-pris-(-pris-); -pristin(-pristin)'";"1999";"";"";"";"";"";"Antibacterial";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"1";"0";"0";"Prescription Only";"CCN(CC)CCS(=O)(=O)[C@@H]1CCN2C(=O)c3coc(n3)CC(=O)C[C@H](O)/C=C(C)/C=C/CNC(=O)/C=C/[C@@H](C)[C@@H](C(C)C)OC(=O)[C@@H]12"
